Top pages,Clicks,Impressions,CTR,Position
https://gisellemonbiot.com/courses/,2,152,1.32%,3.92
https://gisellemonbiot.com/conscious-connected-breathwork-in-person/,2,66,3.03%,7.92
https://gisellemonbiot.com/online-conscious-connected-breathwork-circles/,2,11,18.18%,7.73
https://gisellemonbiot.com/products/,2,4,50%,2.25
https://gisellemonbiot.com/discover-how-grief-moves-in-waves/,1,658,0.15%,14.1
https://gisellemonbiot.com/midlife-isn-t-a-crisis-it-s-an-awakening/,1,320,0.31%,4.58
https://gisellemonbiot.com/course/nuturing-resilience-in-children/,1,284,0.35%,20.22
https://gisellemonbiot.com/course-tag/video/,1,217,0.46%,7.88
https://gisellemonbiot.com/learn-how-to-control-your-stress-and-feel-alive-again/,1,216,0.46%,34.57
https://gisellemonbiot.com/why-talking-alone-isn-t-enough-for-true-healing/,1,188,0.53%,9.69
https://gisellemonbiot.com/about/testimonials/,1,181,0.55%,8.48
https://gisellemonbiot.com/workplace-wellbeing/,1,100,1%,9.47
https://gisellemonbiot.com/about/tackling-stress-and-anxiety/,1,96,1.04%,39.25
https://gisellemonbiot.com/about/parental-support/,1,59,1.69%,12.07
https://gisellemonbiot.com/free-breathwork-sessions-for-inner-peace-and-healing/,1,57,1.75%,25.51
https://gisellemonbiot.com/60-second-stress-busters/,1,52,1.92%,27.06
https://gisellemonbiot.com/lunchtime-relaxation-sessions/,1,29,3.45%,12.69
https://gisellemonbiot.com/harmony-within/,1,28,3.57%,18.82
https://gisellemonbiot.com/course/manage-your-menopause/,1,21,4.76%,10.38
https://gisellemonbiot.com/coming-back-into-balance/,1,20,5%,9.7
https://gisellemonbiot.com/home-2/,1,9,11.11%,4
https://gisellemonbiot.com/meditation/,0,710,0%,41.03
https://gisellemonbiot.com/courses/core-connections/,0,541,0%,23.06
https://gisellemonbiot.com/signs-and-effects-of-stress-in-the-workplace/,0,263,0%,137.01
https://gisellemonbiot.com/frequently-asked-questions-faqs/,0,111,0%,5.95
https://gisellemonbiot.com/core-connections-method/,0,106,0%,23.42
https://gisellemonbiot.com/news/,0,102,0%,13.97
https://gisellemonbiot.com/courses/presentations/,0,100,0%,6.18
https://gisellemonbiot.com/about/supporting-mental-health/,0,86,0%,22.2
https://gisellemonbiot.com/10-simple-tips-to-deal-with-stress/,0,59,0%,30.66
https://gisellemonbiot.com/watch-perimenopause-and-mental-health-giselle-monbiot/,0,49,0%,9.37
https://gisellemonbiot.com/about/solstice-sanctuary-a-day-of-presence-expansion/,0,48,0%,29.15
https://gisellemonbiot.com/the-art-of-self-care/,0,45,0%,16.38
https://gisellemonbiot.com/privacy/,0,40,0%,17.62
https://gisellemonbiot.com/course-category/online/,0,35,0%,23.29
https://gisellemonbiot.com/courses/group-workshops-for-the-workplace/,0,35,0%,24.86
https://gisellemonbiot.com/wp-content/uploads/2022/12/The_true_origin_ebook_compressed.pdf,0,35,0%,36.86
https://gisellemonbiot.com/the-three-states-of-your-nervous-system-and-how-it-impacts-you/,0,34,0%,17.71
https://gisellemonbiot.com/five-tips-to-keep-motivated-working-from-home/,0,34,0%,60
https://gisellemonbiot.com/are-you-stuck-perhaps-you-just-need-some-growth/,0,31,0%,23.81
https://gisellemonbiot.com/about/improving-wellbeing/,0,31,0%,23.9
https://gisellemonbiot.com/resources/,0,29,0%,4.83
https://gisellemonbiot.com/rain-recording-for-meditation/,0,26,0%,41.62
https://gisellemonbiot.com/complex-trauma/,0,25,0%,7.04
https://gisellemonbiot.com/course/communicate-to-connect-in-work-and-life/,0,24,0%,55.67
https://gisellemonbiot.com/what-do-you-have-an-internal-or-external-locus-of-control/,0,23,0%,11.61
https://gisellemonbiot.com/midweek-sanctuary-a-womens-breathwork-and-somatic-circle/,0,21,0%,16.57
https://gisellemonbiot.com/what-is-complex-ptsd-c-ptsd-signs-symptoms-and-how-healing-happens/,0,21,0%,26.05
https://gisellemonbiot.com/category/wellbeing/,0,20,0%,15.25
https://gisellemonbiot.com/awaken-feeling-confident-guided-meditation-session/,0,20,0%,41.6
https://gisellemonbiot.com/concious-connected-breathwork-in-person/,0,19,0%,42.68
https://gisellemonbiot.com/tag/booster/,0,18,0%,10.44
https://gisellemonbiot.com/category/breathwork/,0,14,0%,10.93
https://gisellemonbiot.com/booster-programme-presentation/,0,14,0%,22.57
https://gisellemonbiot.com/privacy-policy/,0,13,0%,6.77
https://gisellemonbiot.com/ten-steps-to-reduce-stress/,0,12,0%,19.42
https://gisellemonbiot.com/course-tag/menopause/,0,11,0%,36
https://gisellemonbiot.com/thank-you-for-getting-in-touch/,0,10,0%,15.7
https://gisellemonbiot.com/course/compassionate-management/,0,8,0%,6.88
https://gisellemonbiot.com/course/the-healthy-workforce-package/,0,8,0%,21.75
https://gisellemonbiot.com/course/the-stress-reset-for-a-healthy-workplace/,0,8,0%,66.75
https://gisellemonbiot.com/stress-from-driver-to-obstacle/,0,7,0%,11.43
https://gisellemonbiot.com/42-days-to-unlock-your-potential/,0,7,0%,24.57
https://gisellemonbiot.com/wp-content/uploads/2020/01/Breathing-Techniques-to-Reduce-Daily-Stress.pdf,0,7,0%,29.57
https://gisellemonbiot.com/transformation-day-retreat/,0,6,0%,11.83
https://gisellemonbiot.com/category/presentation/,0,5,0%,11.8
https://gisellemonbiot.com/course-category/workshops/,0,5,0%,18.6
https://gisellemonbiot.com/course/manage-your-menopause-for-a-healthy-workplace/,0,5,0%,28
https://gisellemonbiot.com/from-protection-to-connection/,0,4,0%,5.25
https://gisellemonbiot.com/course-tag/stress/,0,4,0%,18.5
https://gisellemonbiot.com/course-tag/resilience/,0,3,0%,2.67
https://gisellemonbiot.com/category/news/,0,2,0%,4.5
https://gisellemonbiot.com/tag/motivation/,0,2,0%,8
https://gisellemonbiot.com/tag/stress/,0,2,0%,9
https://gisellemonbiot.com/release-and-relax-guided-meditation-session/,0,2,0%,13
https://gisellemonbiot.com/the-power-of-three-other-possibilities/,0,2,0%,19.5
https://gisellemonbiot.com/the-power-of-human-contact/,0,1,0%,7
https://gisellemonbiot.com/course/skills-to-manage-your-emotions/,0,1,0%,8
https://gisellemonbiot.com/fulfilled-life-guided-meditation-session/,0,1,0%,9
https://gisellemonbiot.com/appreciation-guided-meditation-session/,0,1,0%,11
https://gisellemonbiot.com/focus-on-yourself-guided-meditation-session/,0,1,0%,12
https://gisellemonbiot.com/testimonials-category/public-sector/,0,1,0%,26
https://gisellemonbiot.com/carousels-category/organisations-i-work-with/,0,1,0%,32
